54210 silly lifecycle grunt-lib-contrib@0.6.1~preinstall: no script for preinstall, continuing
54211 silly lifecycle bower@1.3.12~preinstall: no script for preinstall, continuing
54212 silly lifecycle connect-modrewrite@0.8.5~preinstall: no script for preinstall, continuing
54213 silly lifecycle connect-pushstate@1.0.0~preinstall: no script for preinstall, continuing
54214 silly lifecycle grunt@0.4.5~preinstall: no script for preinstall, continuing
54215 silly lifecycle grunt-cli@0.1.13~preinstall: no script for preinstall, continuing
54216 silly lifecycle grunt-concurrent@1.0.1~preinstall: no script for preinstall, continuing
54217 silly lifecycle grunt-connect-pushstate@0.2.0~preinstall: no script for preinstall, continuing
54218 silly lifecycle grunt-contrib-clean@0.5.0~preinstall: no script for preinstall, continuing
54219 silly lifecycle grunt-contrib-concat@1.0.1~preinstall: no script for preinstall, continuing
54220 silly lifecycle grunt-contrib-connect@0.5.0~preinstall: no script for preinstall, continuing
54221 silly lifecycle grunt-contrib-jshint@0.6.5~preinstall: no script for preinstall, continuing
54222 silly lifecycle grunt-contrib-uglify@0.2.7~preinstall: no script for preinstall, continuing
54223 silly lifecycle grunt-contrib-watch@0.5.3~preinstall: no script for preinstall, continuing
54224 silly lifecycle grunt-injector@0.5.4~preinstall: no script for preinstall, continuing
54225 silly lifecycle grunt-uncss@0.5.0~preinstall: no script for preinstall, continuing
54226 silly lifecycle karma@0.12.37~preinstall: no script for preinstall, continuing
54227 silly lifecycle karma-chrome-launcher@0.1.12~preinstall: no script for preinstall, continuing
54228 silly lifecycle karma-coverage@0.2.7~preinstall: no script for preinstall, continuing
54229 silly lifecycle karma-firefox-launcher@0.1.7~preinstall: no script for preinstall, continuing
54230 silly lifecycle karma-jasmine@0.2.3~preinstall: no script for preinstall, continuing
54231 silly lifecycle karma-phantomjs-launcher@0.1.4~preinstall: no script for preinstall, continuing
54232 silly lifecycle load-grunt-tasks@0.5.0~preinstall: no script for preinstall, continuing
54233 silly lifecycle time-grunt@0.3.2~preinstall: no script for preinstall, continuing
54234 silly doReverseSerial remove 0
54235 silly doSerial move 0
54236 silly doSerial finalize 720
54237 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/abbrev
54238 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/accepts/node_modules/mime-db
54239 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/accepts/node_modules/mime-types
54240 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/amdefine
54241 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/ansi-regex
54242 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/ansi-styles
54243 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/archy
54244 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/arr-flatten
54245 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/arr-diff
54246 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/array-filter
54247 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/array-find-index
54248 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/array-map
54249 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/array-reduce
54250 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/array-unique
54251 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/arrify
54252 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/asn1
54253 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/assert-plus
54254 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/async
54255 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/async-each
54256 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/aws-sign2
54257 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/aws4
54258 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/balanced-match
54259 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/base64-url
54260 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/base64id
54261 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/basic-auth
54262 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/basic-auth-connect
54263 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/batch
54264 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/binary-extensions
54265 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bluebird
54266 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/body-parser/node_modules/bytes
54267 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/body-parser/node_modules/iconv-lite
54268 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/body-parser/node_modules/qs
54269 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-config/node_modules/graceful-fs
54270 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-config/node_modules/osenv
54271 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-endpoint-parser
54272 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-json/node_modules/graceful-fs
54273 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-logger
54274 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-registry-client/node_modules/async
54275 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-registry-client/node_modules/graceful-fs
54276 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-registry-client/node_modules/lru-cache
54277 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bower-registry-client/node_modules/mkdirp
54278 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/buffer-crc32
54279 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/buffer-shims
54280 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/buffers
54281 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/builtin-modules
54282 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/bytes
54283 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/camelcase
54284 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/camelcase-keys/node_modules/camelcase
54285 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/caseless
54286 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/chmodr
54287 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/cliui/node_modules/wordwrap
54288 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/coffee-script
54289 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/colors
54290 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/compressible/node_modules/mime-db
54291 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/compressible
54292 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/compression/node_modules/bytes
54293 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/concat-map
54294 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/brace-expansion
54295 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/concat-stream/node_modules/isarray
54296 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/configstore/node_modules/object-assign
54297 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/connect-livereload
54298 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/connect-modrewrite/node_modules/qs
54299 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/connect/node_modules/qs
54300 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/console-browserify
54301 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/content-type
54302 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/cookie
54303 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/cookie-parser/node_modules/cookie
54304 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/cookie-parser/node_modules/cookie-signature
54305 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/cookie-parser
54306 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/cookie-signature
54307 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/core-util-is
54308 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/crc
54309 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/css-parse
54310 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/csurf/node_modules/cookie
54311 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/csurf/node_modules/cookie-signature
54312 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/ctype
54313 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/dashdash/node_modules/assert-plus
54314 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/dashdash
54315 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/date-time
54316 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/dateformat
54317 silly finalize /home/w0st/pracadyplomowa/Projekty/foodme/node_modules/decamelize
